# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-03-23 16:06:58 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 371425116251902 227B S08 E50 17    6    UE-20n 1 (2834 ft)
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 371425116251902
#    TS_ID       Parameter Description
#    304741      72204     Barometric pressure (BP), uncorrected, pounds per square inch
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	304741_72204	304741_72204_cd
5s	15s	20d	6s	14n	10s
USGS	371425116251902	2021-07-15 00:00	PDT	11.7100	P
USGS	371425116251902	2021-07-15 00:10	PDT	11.7100	P
USGS	371425116251902	2021-07-15 00:20	PDT	11.7020	P
USGS	371425116251902	2021-07-15 00:30	PDT	11.7080	P
USGS	371425116251902	2021-07-15 00:40	PDT	11.7100	P
USGS	371425116251902	2021-07-15 00:50	PDT	11.7010	P
USGS	371425116251902	2021-07-15 01:00	PDT	11.7080	P
USGS	371425116251902	2021-07-15 01:10	PDT	11.7080	P
USGS	371425116251902	2021-07-15 01:20	PDT	11.7020	P
USGS	371425116251902	2021-07-15 01:30	PDT	11.7030	P
USGS	371425116251902	2021-07-15 01:40	PDT	11.7080	P
USGS	371425116251902	2021-07-15 01:50	PDT	11.7020	P
USGS	371425116251902	2021-07-15 02:00	PDT	11.6980	P
USGS	371425116251902	2021-07-15 02:10	PDT	11.7060	P
USGS	371425116251902	2021-07-15 02:20	PDT	11.7060	P
USGS	371425116251902	2021-07-15 02:30	PDT	11.6980	P
